total_weight_gr,Total Diskon,num_product_categories,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,discount_ratio,shipping_ratio,is_cod,has_shipping_discount,order_year,order_month,product_categories,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,net_qty,demand_level,label
400,0,1,0,8000,31000,8000,0.0,0.25806451612903225,0,1,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA TANGERANG,BANTEN,2,Medium Demand,1
400,0,1,0,8000,32200,8000,0.0,0.2484472049689441,1,1,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BOGOR,JAWA BARAT,2,Medium Demand,1
500,0,1,0,8000,20800,8000,0.0,0.38461538461538464,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TANGERANG,BANTEN,1,Low Demand,0
2400,0,3,0,9000,26862,9000,0.0,0.33504578959124415,1,1,2024,1,"Celengan, Plastik / Wadah Plastik, Teko / Jug",Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG BARAT,JAWA BARAT,3,Medium Demand,1
4500,0,1,3000,20000,66800,23000,0.0,0.344311377245509,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BANDUNG,JAWA BARAT,3,Medium Demand,1
500,0,1,2000,10000,22800,12000,0.0,0.5263157894736842,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,1,Low Demand,0
500,0,1,6500,10000,20942,16500,0.0,0.7878903638620953,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. GARUT,JAWA BARAT,1,Low Demand,0
2000,0,1,17500,0,52500,17500,0.0,0.3333333333333333,0,0,2024,1,Celengan,Same Day-GoSend Same Day,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,2,Medium Demand,1
600,0,1,0,8000,37400,8000,0.0,0.21390374331550802,1,1,2024,1,Seal / Baut / Roof,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,2,Medium Demand,1
152000,0,7,33000,20000,590436,53000,0.0,0.08976417427121652,0,1,2024,1,"Botol / Gelas / Mug, Cobek / Ulekan, Mangkok Sambal / Saus, Other, Peralatan Makan, Plastik / Wadah Plastik, Tempat Nasi",Instant (Versi Lama)-SPX Instant (Versi Lama),SPayLater,KOTA JAKARTA BARAT,DKI JAKARTA,13,High Demand,2
1000,0,1,0,22000,115400,22000,0.0,0.19064124783362218,1,1,2024,1,Nampan / Tray,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BENGKULU,BENGKULU,2,Medium Demand,1
300,0,1,5500,10000,23500,15500,0.0,0.6595744680851063,0,1,2024,1,Peralatan Kamar Mandi,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TASIKMALAYA,JAWA BARAT,1,Low Demand,0
600,0,1,0,21000,84000,21000,0.0,0.25,0,1,2024,1,Saringan / Strainer,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA PEKANBARU,RIAU,1,Low Demand,0
2000,0,1,0,8000,44000,8000,0.0,0.18181818181818182,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Kartu Kredit/Debit,KAB. TANGERANG,BANTEN,2,Medium Demand,1
1700,0,1,0,16000,68600,16000,0.0,0.23323615160349853,1,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BEKASI,JAWA BARAT,1,Low Demand,0
500,0,1,0,8000,21592,8000,0.0,0.3705075954057058,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
500,0,1,0,9500,18106,9500,0.0,0.524687948746272,1,1,2024,1,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,1,Low Demand,0
1000,0,1,0,8000,36152,8000,0.0,0.2212878955521133,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,2,Medium Demand,1
500,0,1,0,7500,18576,7500,0.0,0.4037467700258398,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SUKABUMI,JAWA BARAT,1,Low Demand,0
1000,0,1,0,8000,36152,8000,0.0,0.2212878955521133,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SUKABUMI,JAWA BARAT,2,Medium Demand,1
4500,0,1,0,16000,63800,16000,0.0,0.2507836990595611,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA BEKASI,JAWA BARAT,3,Medium Demand,1
500,0,1,0,10000,17197,10000,0.0,0.5814967726929116,0,1,2024,1,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
500,0,1,2000,10000,20656,12000,0.0,0.5809450038729667,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
2000,0,1,0,8000,31235,8000,0.0,0.25612293901072514,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA BEKASI,JAWA BARAT,2,Medium Demand,1
500,0,1,0,8000,21592,8000,0.0,0.3705075954057058,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,1,Low Demand,0
500,0,1,1000,10000,18500,11000,0.0,0.5945945945945946,1,1,2024,1,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
2000,0,1,0,10000,37388,10000,0.0,0.26746549695089333,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,SPayLater,KAB. BANDUNG,JAWA BARAT,2,Medium Demand,1
500,0,1,0,9000,17900,9000,0.0,0.5027932960893855,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA PUSAT,DKI JAKARTA,1,Low Demand,0
24200,181500,1,99301,20000,705301,119301,0.2573369384135284,0.16914905834530222,0,1,2024,1,Nampan / Tray,Kargo-J&T Cargo,SeaBank Bayar Instan,KOTA PALEMBANG,SUMATERA SELATAN,121,High Demand,2
3900,0,3,0,13000,86900,13000,0.0,0.14959723820483314,0,1,2024,1,"Mangkok Sambal / Saus, Other, Plastik / Wadah Plastik",Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. PANDEGLANG,BANTEN,7,High Demand,2
500,0,1,8000,0,26500,8000,0.0,0.3018867924528302,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KAB. BOGOR,JAWA BARAT,1,Low Demand,0
200,0,1,38500,0,56640,38500,0.0,0.679731638418079,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BUKITTINGGI,SUMATERA BARAT,1,Low Demand,0
500,0,1,8000,0,29800,8000,0.0,0.2684563758389262,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KOTA DEPOK,JAWA BARAT,1,Low Demand,0
1000,0,1,12500,0,55600,12500,0.0,0.22482014388489208,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Alfamart/Alfamidi/Dan+Dan,KAB. CIREBON,JAWA BARAT,2,Medium Demand,1
700,0,1,3500,40000,26500,43500,0.0,1.6415094339622642,1,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TEBO,JAMBI,1,Low Demand,0
300,0,1,16000,0,33306,16000,0.0,0.48039392301687384,0,0,2024,1,Peralatan Kamar Mandi,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. SLEMAN,DI YOGYAKARTA,1,Low Demand,0
400,0,1,46000,0,80040,46000,0.0,0.5747126436781609,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MUSI BANYUASIN,SUMATERA SELATAN,2,Medium Demand,1
350,0,1,8000,0,25960,8000,0.0,0.3081664098613251,1,0,2024,1,Peralatan Makan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,1,Low Demand,0
7000,0,1,8000,20000,110000,28000,0.0,0.2545454545454545,0,1,2024,1,Other,Instant (Versi Lama)-SPX Instant (Versi Lama),Online Payment,KOTA TANGERANG,BANTEN,1,Low Demand,0
1200,0,1,0,20000,94600,20000,0.0,0.21141649048625794,1,1,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. PASURUAN,JAWA TIMUR,6,High Demand,2
800,0,1,8000,0,39380,8000,0.0,0.2031488065007618,0,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,SPayLater,KAB. BEKASI,JAWA BARAT,2,Medium Demand,1
500,0,1,8000,0,28000,8000,0.0,0.2857142857142857,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
2000,0,1,8000,0,45800,8000,0.0,0.17467248908296942,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA BARAT,DKI JAKARTA,2,Medium Demand,1
2560,0,2,14500,20000,109500,34500,0.0,0.3150684931506849,0,1,2024,1,"Mangkok Sambal / Saus, Peralatan Makan",Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA BALIKPAPAN,KALIMANTAN TIMUR,7,High Demand,2
1700,0,1,89000,0,161160,89000,0.0,0.5522462149416729,1,0,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT (NTB),1,Low Demand,0
1000,0,1,8000,0,44472,8000,0.0,0.17988846914912754,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2,Medium Demand,1
1000,0,1,8000,0,50504,8000,0.0,0.1584032947885316,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2,Medium Demand,1
500,0,1,8000,0,29800,8000,0.0,0.2684563758389262,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
700,0,1,9000,0,33732,9000,0.0,0.26680896478121663,0,0,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,SPayLater,KOTA CIMAHI,JAWA BARAT,1,Low Demand,0
10000,0,1,72000,20000,772960,92000,0.0,0.11902297660939765,0,1,2024,1,Lunch Box / Rantang,Instant (Versi Lama)-SPX Instant (Versi Lama),Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,50,High Demand,2
10000,0,1,72000,20000,774000,92000,0.0,0.11886304909560723,0,1,2024,1,Lunch Box / Rantang,Instant (Versi Lama)-SPX Instant (Versi Lama),Online Payment,KOTA JAKARTA TIMUR,DKI JAKARTA,50,High Demand,2
400,0,1,38000,0,71720,38000,0.0,0.5298382598996096,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,2,Medium Demand,1
400,0,1,8000,0,32720,8000,0.0,0.24449877750611246,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,2,Medium Demand,1
400,0,1,8000,0,40520,8000,0.0,0.19743336623889438,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2,Medium Demand,1
500,0,1,7500,0,25400,7500,0.0,0.2952755905511811,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA SERANG,BANTEN,1,Low Demand,0
400,0,1,8000,0,39000,8000,0.0,0.20512820512820512,0,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,2,Medium Demand,1
2000,0,1,31500,0,111760,31500,0.0,0.2818539727988547,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-J&T Economy,COD (Bayar di Tempat),KOTA BANJARMASIN,KALIMANTAN SELATAN,5,High Demand,2
46000,0,1,48401,20000,335401,68401,0.0,0.20393797275500072,0,1,2024,1,Nampan / Tray,Kargo-JNE Trucking (JTR),Online Payment,KOTA BANDUNG,JAWA BARAT,40,High Demand,2
250,0,1,10000,0,16600,10000,0.0,0.6024096385542169,1,0,2024,1,Other,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANDUNG,JAWA BARAT,1,Low Demand,0
1000,0,1,8000,0,59240,8000,0.0,0.1350438892640108,1,0,2024,1,Botol / Gelas / Mug,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA UTARA,DKI JAKARTA,10,High Demand,2
400,0,1,35500,0,69120,35500,0.0,0.5135995370370371,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. OGAN KOMERING ILIR,SUMATERA SELATAN,2,Medium Demand,1
1600,0,2,8000,0,48840,8000,0.0,0.1638001638001638,1,0,2024,1,"Celengan, Tempat Sampah",Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,2,Medium Demand,1
500,0,1,8000,0,33000,8000,0.0,0.24242424242424243,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
2000,0,1,16000,0,65000,16000,0.0,0.24615384615384617,0,0,2024,1,Nampan / Tray,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,4,High Demand,2
200,0,1,8000,0,23426,8000,0.0,0.34150089643985315,0,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA UTARA,DKI JAKARTA,1,Low Demand,0
400,0,1,21000,0,52510,21000,0.0,0.39992382403351745,0,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,SPayLater,KOTA PADANG,SUMATERA BARAT,2,Medium Demand,1
1000,0,1,8000,0,44472,8000,0.0,0.17988846914912754,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,2,Medium Demand,1
1700,0,1,16000,0,85240,16000,0.0,0.18770530267480057,1,0,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA UTARA,DKI JAKARTA,1,Low Demand,0
400,0,1,0,9500,25121,9500,0.0,0.3781696588511604,1,1,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,2,Medium Demand,1
1000,0,1,8000,0,44472,8000,0.0,0.17988846914912754,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA UTARA,DKI JAKARTA,2,Medium Demand,1
1400,0,1,60000,0,120600,60000,0.0,0.4975124378109453,1,0,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KUBU RAYA,KALIMANTAN BARAT,1,Low Demand,0
600,0,1,0,20000,45000,20000,0.0,0.4444444444444444,1,1,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA BLITAR,JAWA TIMUR,3,Medium Demand,1
400,0,1,13000,0,45720,13000,0.0,0.28433945756780404,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SERANG,BANTEN,2,Medium Demand,1
200,0,1,9500,0,26007,9500,0.0,0.36528626908140116,1,0,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-J&T Express,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,1,Low Demand,0
8000,0,1,1000,20000,702000,21000,0.0,0.029914529914529916,0,1,2024,1,Seal / Baut / Roof,Kargo-JNE Trucking (JTR),Saldo ShopeePay,KOTA BEKASI,JAWA BARAT,2,Medium Demand,1
1000,0,1,8000,0,42800,8000,0.0,0.18691588785046728,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TANGERANG,BANTEN,2,Medium Demand,1
500,0,1,8000,0,26122,8000,0.0,0.3062552637623459,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA TANGERANG,BANTEN,1,Low Demand,0
500,0,1,8000,0,26896,8000,0.0,0.297441998810232,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
150,0,1,15500,0,21320,15500,0.0,0.7270168855534709,1,0,2024,1,Botol / Gelas / Mug,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SURABAYA,JAWA TIMUR,1,Low Demand,0
500,0,1,9500,0,27400,9500,0.0,0.3467153284671533,0,0,2024,1,Celengan,Reguler (Cashless)-J&T Express,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
600,0,1,7500,0,55600,7500,0.0,0.13489208633093525,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SERANG,BANTEN,3,Medium Demand,1
150,0,1,8000,0,14520,8000,0.0,0.5509641873278237,1,0,2024,1,Botol / Gelas / Mug,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA SELATAN,DKI JAKARTA,1,Low Demand,0
200,0,1,8000,0,24920,8000,0.0,0.32102728731942215,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,1,Low Demand,0
700,0,1,0,8000,24000,8000,0.0,0.3333333333333333,0,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA UTARA,DKI JAKARTA,1,Low Demand,0
500,0,1,0,8000,16900,8000,0.0,0.47337278106508873,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA BEKASI,JAWA BARAT,1,Low Demand,0
700,0,1,19500,0,57680,19500,0.0,0.3380721220527046,1,0,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PONOROGO,JAWA TIMUR,1,Low Demand,0
500,0,1,10000,0,28080,10000,0.0,0.3561253561253561,1,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
600,0,1,8000,0,32200,8000,0.0,0.2484472049689441,1,0,2024,1,Plastik / Wadah Plastik,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,1,Low Demand,0
2000,0,1,17500,0,55500,17500,0.0,0.3153153153153153,0,0,2024,1,Celengan,Same Day-GoSend Same Day,Saldo ShopeePay,KOTA TANGERANG,BANTEN,2,Medium Demand,1
2000,0,1,8000,0,45129,8000,0.0,0.17726960491036806,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Kartu Kredit/Debit,KOTA BEKASI,JAWA BARAT,2,Medium Demand,1
200,0,1,10000,0,27000,10000,0.0,0.37037037037037035,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
10900,0,5,16000,0,94850,16000,0.0,0.16868740115972589,0,0,2024,1,"Baskom / Mangkok Besar, Keranjang, Mangkok Sambal / Saus, Peralatan Makan, Plastik / Wadah Plastik",Hemat Kargo-SPX Hemat,Online Payment,KOTA BEKASI,JAWA BARAT,8,High Demand,2
900,0,1,8000,0,61760,8000,0.0,0.12953367875647667,0,0,2024,1,Seal / Baut / Roof,Hemat Kargo-SPX Hemat,Online Payment,KAB. TANGERANG,BANTEN,3,Medium Demand,1
500,0,1,8000,0,25900,8000,0.0,0.3088803088803089,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA PUSAT,DKI JAKARTA,1,Low Demand,0
300,0,1,12500,0,31680,12500,0.0,0.39457070707070707,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. INDRAMAYU,JAWA BARAT,1,Low Demand,0
500,0,1,8000,0,27000,8000,0.0,0.2962962962962963,0,0,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
1950,0,2,8000,0,33015,8000,0.0,0.24231409965167347,0,0,2024,1,"Keranjang, Other",Hemat Kargo-SPX Hemat,Online Payment,KOTA DEPOK,JAWA BARAT,3,Medium Demand,1
200,0,1,0,7500,16600,7500,0.0,0.45180722891566266,1,1,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA CILEGON,BANTEN,1,Low Demand,0
1700,0,1,45000,60000,110000,105000,0.0,0.9545454545454546,1,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BONE,SULAWESI SELATAN,1,Low Demand,0
2000,0,1,18000,0,56500,18000,0.0,0.3185840707964602,0,0,2024,1,Celengan,Next Day-JNE YES,Saldo ShopeePay,KOTA JAKARTA SELATAN,DKI JAKARTA,2,Medium Demand,1
200,0,1,8000,0,20570,8000,0.0,0.3889158969372873,1,0,2024,1,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,1,Low Demand,0
4000,0,1,30000,0,374000,30000,0.0,0.08021390374331551,0,0,2024,1,Seal / Baut / Roof,Kargo-J&T Cargo,Saldo ShopeePay,KAB. BANYUASIN,SUMATERA SELATAN,1,Low Demand,0
300,0,1,0,8000,17000,8000,0.0,0.47058823529411764,1,1,2024,1,Peralatan Kamar Mandi,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,1,Low Demand,0
400,0,1,15000,0,46000,15000,0.0,0.32608695652173914,0,0,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. SIDOARJO,JAWA TIMUR,2,Medium Demand,1
1200,0,1,21500,0,75500,21500,0.0,0.2847682119205298,0,0,2024,1,Toples / Sealware,Hemat Kargo-SPX Hemat,Online Payment,KAB. TEMANGGUNG,JAWA TENGAH,4,High Demand,2
